dm,compound
2018-3,0.17741115879828326
2018-5,0.15700185873605949
2018-6,0.18918325358851673
2018-8,0.1708844
2018-9,0.17215
2019-1,0.17403820224719102
2019-10,0.11705296167247387
2019-12,0.12329051724137931
2019-3,0.1513366935483871
2019-5,0.16830830039525693
2019-6,0.06052863436123348
2019-7,0.12716125461254613
2019-9,0.08541127272727272
2020-1,0.16282968369829684
2020-11,0.170106875
2020-12,0.18225867158671585
2020-3,0.06976201298701298
2020-4,0.07712993421052632
2020-6,0.12122030651340997
2020-7,0.15905116279069767
2020-9,0.22795016501650164
2021-1,0.1684964705882353
2021-11,0.21932490706319704
2021-12,0.22704968152866242
2021-3,0.21820415224913495
2021-4,0.17321921824104233
2021-6,0.1811256055363322
2021-7,0.21576869300911852
2021-9,0.20405482758620688
